span_text|counts|span_score_mean|span_score_min|span_score_max|span_score_median|span_score_std|accessibility_mean|accessibility_min|accessibility_max|accessibility_median|accessibility_std|content_gen_mean|content_gen_min|content_gen_max|content_gen_median|content_gen_std|automation_mean|automation_min|automation_max|automation_median|automation_std
neural nets|6|0.99999976|0.9999993|0.9999999|0.9999999|2.384185791085014e-07|0.07570145744882416|0.019217954878019427|0.12113120917252117|0.08083962964955121|0.042534827997829636|0.04672834456744592|0.0056680580475138775|0.1338235273798439|0.033385441739897534|0.047808986182530315|0.006922264698429835|0.0017836382641008269|0.01251600611210493|0.007148891208363583|0.0042773432724262815
CA|5|0.95296746|0.771679|0.99987924|0.99702615|0.10135517886944585|0.11564891662524701|0.10612176542759799|0.12328389536038328|0.11869120478631304|0.007819210358890206|0.03183132914360054|0.027378151454345082|0.03629148348296675|0.030386794711259338|0.003766596806539365|0.003247604522676165|0.0029987228938040274|0.00354908075256958|0.0032619038455330308|0.00023286670581409814
DFL|5|0.90176046|0.6827334|0.9999976|0.97867227|0.13463342891779842|0.09134119839429157|0.05424417400290732|0.1562449869521797|0.07836374464094924|0.04152304105624965|0.03419786670220917|0.006124869030992154|0.10350783335402257|0.020890328571825503|0.03924945574756513|0.007773617612508723|0.0031926128813444124|0.020226624908851094|0.005032008947239534|0.007084576630115854
videos|5|0.95439976|0.92277664|0.9995714|0.92989904|0.040008209607633544|0.12429096461307461|0.08145676671510853|0.1537450571240294|0.12595105219884664|0.030843557517672968|0.09819662926230216|0.0317797186638756|0.3100758981969411|0.051389933973032854|0.11872601216161908|0.0037682247614984885|0.0029664661271527146|0.004821406912954162|0.0033027613534637496|0.0009351998809917383
Generator|5|0.99873334|0.9936865|0.9999993|0.99999607|0.00282125099168433|0.07552035555091215|0.06224918465864268|0.08738935810809428|0.07549438684683507|0.009382583564290004|0.21446148643163343|0.055391408718759735|0.5296799689245943|0.14579927308591986|0.1862384186766971|0.0029945986883796794|0.0022659568307569775|0.004756626138250233|0.0024516866538067035|0.0010307023399878084
vision|5|0.8722175|0.54303026|0.9997751|0.99029154|0.19756275879201177|0.1172209056530256|0.09608705660715575|0.14699168892941408|0.11469562337727995|0.018846772397667678|0.11096368228758306|0.022456346011514285|0.21373446846766642|0.07824175326614478|0.09460258044118224|0.004188254962702215|0.0030651216538249365|0.004783440430192391|0.004541269314219317|0.0006998014141516174
generative adversarial networks|5|0.99998933|0.99996305|0.9999994|0.99999595|1.5026187905512346e-05|0.08457162540887128|0.05826081666057062|0.10483248818462977|0.08572477519435992|0.016732940094000125|0.22416623987675757|0.10162761074275296|0.2945193449212257|0.23323226083427973|0.07867045191469432|0.003055433204410855|0.0024358968114713275|0.003443973113445063|0.0031460752676014396|0.00042861966512356244
machines|5|0.95159626|0.7624385|0.9999995|0.9999789|0.1057596742720579|0.10922836317671898|0.06772584111423151|0.17370756127433623|0.09711501299557232|0.0446215157960336|0.049179248777002166|0.01755848800748619|0.10749355227403966|0.0266394765085306|0.0398448223446706|0.004521159826362254|0.0017671438571598174|0.007629292575190335|0.0038240481331340663|0.00233068985321192
networks|5|0.99647033|0.9851291|0.99999976|0.99999464|0.006452361024486828|0.09022577397000739|0.05485333095820916|0.1512563533783447|0.08002344342100498|0.03626993752864745|0.07624525849357164|0.012766231407928456|0.1661110435450953|0.05934402571378687|0.06004578842893453|0.007012000754336119|0.003848026618151194|0.00853825861277534|0.007163997326771588|0.0019053770126895785
large language|5|0.96231586|0.9019761|0.99925655|0.9965306|0.04841111793233449|0.16471259425307236|0.11506534094287893|0.2327843801752557|0.1228304430763098|0.06220314372020491|0.068935132574448|0.01946621314635868|0.20753979099958816|0.039904674131280626|0.0779576887333542|0.028493057978749393|0.005972321731440922|0.09053805814707712|0.018297540732036432|0.035109625529167875
